action_id,tag_id,article_id,action_user,action_type
1,6,59,24,congress
2,2,66,36,congress
3,7,36,20,meetup
4,8,4,40,meetup
5,9,27,1,give
6,8,33,34,congress
7,1,59,9,meetup
8,9,42,8,give
9,9,52,33,congress
10,1,10,38,meetup
11,4,79,17,meetup
12,2,85,28,congress
13,6,55,45,give
14,5,35,20,congress
15,1,100,6,meetup
16,3,49,48,congress
17,5,15,23,meetup
18,5,62,11,congress
19,9,94,30,give
20,5,30,35,give
21,9,69,27,meetup
22,6,49,6,meetup
23,5,60,37,congress
24,9,7,11,give
25,7,96,24,meetup
26,1,50,42,congress
27,7,71,50,give
28,4,9,47,meetup
29,3,32,48,congress
30,7,91,35,meetup
31,9,52,26,congress
32,8,99,5,meetup
33,1,7,12,meetup
34,8,88,9,congress
35,3,27,26,congress
36,9,10,37,give
37,2,42,16,congress
38,5,32,7,congress
39,9,19,40,meetup
40,6,21,9,congress
41,8,23,4,meetup
42,7,8,19,congress
43,2,62,23,meetup
44,8,96,7,give
45,6,92,30,give
46,9,79,27,meetup
47,1,98,21,meetup
48,7,63,16,congress
49,2,15,7,congress
50,2,33,31,congress
51,9,20,21,congress
52,2,17,9,give
53,6,76,28,meetup
54,8,21,27,congress
55,2,50,29,congress
56,8,16,31,give
57,4,46,24,give
58,1,69,46,meetup
59,8,26,25,meetup
60,2,81,17,congress
61,4,29,3,give
62,3,55,46,meetup
63,8,78,27,congress
64,9,19,18,meetup
65,3,72,32,give
66,7,100,37,congress
67,4,37,26,give
68,1,81,5,congress
69,3,78,23,congress
70,6,30,38,congress
71,9,70,6,congress
72,8,91,27,meetup
73,7,18,2,congress
74,9,34,48,congress
75,9,44,25,congress
76,4,98,43,congress
77,5,47,25,meetup
78,7,40,35,give
79,8,30,27,meetup
80,1,67,49,give
81,5,46,42,give
82,1,85,8,congress
83,7,17,21,congress
84,2,89,32,congress
85,2,60,29,meetup
86,1,94,9,congress
87,5,6,40,give
88,7,3,18,congress
89,5,90,49,give
90,2,16,9,congress
91,9,88,12,congress
92,5,98,7,meetup
93,7,100,3,give
94,7,57,34,congress
95,2,40,43,meetup
96,5,18,50,congress
97,6,21,9,congress
98,8,20,49,give
99,4,71,9,meetup
100,6,23,8,congress
101,1,39,48,give
102,9,82,42,give
103,2,41,41,meetup
104,7,57,17,give
105,2,81,28,give
106,5,80,34,give
107,2,50,29,congress
108,5,75,47,congress
109,5,59,22,give
110,2,53,24,give
111,5,2,8,congress
112,2,83,12,congress
113,7,81,37,congress
114,4,55,25,congress
115,2,91,3,congress
116,9,20,6,give
117,6,90,28,give
118,1,84,39,congress
119,3,28,26,congress
120,2,61,39,congress
121,8,95,33,give
122,7,20,14,meetup
123,1,89,17,congress
124,8,72,43,meetup
125,6,85,26,give
126,6,93,49,meetup
127,8,74,38,give
128,4,76,32,congress
129,8,56,47,meetup
130,3,97,46,congress
131,4,99,11,meetup
132,1,53,28,give
133,8,55,16,meetup
134,1,7,10,congress
135,5,8,7,meetup
136,2,54,43,congress
137,2,92,48,give
138,5,79,25,give
139,1,74,31,give
140,8,82,42,meetup
141,5,78,36,give
142,5,11,18,give
143,4,33,30,meetup
144,8,66,11,congress
145,6,72,28,congress
146,5,16,23,meetup
147,8,4,1,give
148,4,53,7,congress
149,6,61,18,meetup
150,1,14,5,give
151,2,99,19,meetup
152,8,40,1,give
153,3,34,4,meetup
154,5,80,11,meetup
155,7,75,40,give
156,8,19,18,congress
157,4,84,28,give
158,2,87,5,meetup
159,1,44,31,congress
160,8,4,1,give
161,1,21,34,congress
162,6,87,6,meetup
163,3,50,34,meetup
164,3,98,26,congress
165,1,16,41,congress
166,4,38,39,give
167,9,59,32,congress
168,6,46,35,give
169,2,83,31,give
170,2,10,37,congress
171,1,21,12,give
172,4,57,17,meetup
173,3,97,40,congress
174,7,33,23,meetup
175,2,41,47,give
176,9,44,49,give
177,4,46,42,congress
178,6,72,5,congress
179,7,34,32,congress
180,3,3,17,meetup
181,1,61,26,meetup
182,5,77,23,meetup
183,5,69,42,meetup
184,4,19,50,meetup
185,2,22,47,meetup
186,5,98,42,congress
187,6,75,32,congress
188,1,65,32,meetup
189,2,88,30,give
190,6,29,45,meetup
191,4,73,19,congress
192,4,8,7,congress
193,4,9,18,meetup
194,9,46,6,congress
195,9,62,34,give
196,1,75,17,meetup
197,9,76,17,meetup
198,3,92,23,give
199,6,93,4,give
200,1,77,4,meetup
